Filename,numCoils,numReps,numFrames,numSets,numAverage,TRes,FOVx,FOVy,FOVz,TE,TI,echo_spacing,flipAngle_deg,sequence_type
fs_0057_1_5T.h5,28,1,25,1,1,35.639999,760.0,285.0,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0009_1_5T.h5,18,1,22,1,1,33.720001,720.0,300.09375,8.0,1.41,300.0,2.81,52.0,SSFP
fs_0051_1_5T.h5,28,1,28,1,1,30.299999,560.0,210.0,8.0,1.52,300.0,3.03,70.0,SSFP
fs_0074_1_5T.h5,24,1,19,1,1,35.639999,760.0,285.0,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0043_3T.h5,20,1,18,1,2,37.080002,700.0,262.5,8.0,1.55,300.0,3.09,44.0,SSFP
fs_0059_1_5T.h5,24,1,22,1,1,34.439999,880.0,330.0,8.0,1.44,300.0,2.87,70.0,SSFP
fs_0003_1_5T.h5,18,1,17,1,1,51.360001,600.0,243.75,8.0,1.36,300.0,3.21,65.0,SSFP
fs_0004_1_5T.h5,18,1,18,1,1,50.240002,640.0,260.0,8.0,1.33,300.0,3.14,65.0,SSFP
fs_0010_1_5T.h5,18,1,22,1,1,33.720001,720.0,300.09375,8.0,1.41,300.0,2.81,52.0,SSFP
fs_0036_3T.h5,34,1,17,1,1,39.0,540.0,202.5,8.0,1.63,300.0,3.25,41.0,SSFP
fs_0029_3T.h5,30,1,28,1,2,35.400002,880.0,330.0,8.0,1.48,300.0,2.95,38.0,SSFP
fs_0008_1_5T.h5,15,1,21,1,1,34.200001,760.0,365.238525,8.0,1.43,300.0,2.85,52.0,SSFP
fs_0063_1_5T.h5,24,1,22,1,1,35.639999,760.0,308.75,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0045_3T.h5,30,1,25,1,1,36.599998,760.0,285.0,8.0,1.53,300.0,3.05,33.0,SSFP
fs_0048_3T.h5,24,1,22,1,1,32.599998,680.0,284.991852,8.0,1.43,300.0,3.26,52.0,SSFP
fs_0072_1_5T.h5,16,1,20,1,1,35.639999,760.0,285.0,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0011_1_5T.h5,18,1,22,1,1,33.720001,720.0,300.09375,8.0,1.41,300.0,2.81,52.0,SSFP
fs_0002_1_5T.h5,18,1,19,1,1,46.400002,800.0,325.0,8.0,1.22,300.0,2.9,65.0,SSFP
fs_0050_1_5T.h5,28,1,30,1,1,28.5,720.0,270.0,8.0,1.43,300.0,2.85,70.0,SSFP
fs_0007_1_5T.h5,18,1,23,1,1,33.720001,720.0,300.105011,8.0,1.41,300.0,2.81,52.0,SSFP
fs_0068_1_5T.h5,28,1,22,1,1,35.639999,760.0,308.75,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0056_1_5T.h5,24,1,23,1,1,34.200001,720.0,270.0,8.0,1.43,300.0,2.85,64.0,SSFP
fs_0060_1_5T.h5,28,1,21,1,1,35.639999,760.0,285.0,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0055_1_5T.h5,24,1,25,1,1,31.35,720.0,272.25,8.0,1.43,300.0,2.85,69.0,SSFP
fs_0025_3T.h5,30,1,27,1,2,35.880001,800.0,300.0,8.0,1.5,300.0,2.99,38.0,SSFP
fs_0035_3T.h5,34,1,18,1,2,37.080002,700.0,262.5,8.0,1.55,300.0,3.09,41.0,SSFP
fs_0044_3T.h5,30,1,26,1,1,35.880001,840.0,315.0,8.0,1.5,300.0,2.99,33.0,SSFP
fs_0037_3T.h5,34,1,22,1,2,37.799999,640.0,240.0,8.0,1.58,300.0,3.15,41.0,SSFP
fs_0071_1_5T.h5,24,1,25,1,1,35.639999,760.0,308.75,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0049_3T.h5,20,1,22,1,1,32.599998,680.0,284.991852,8.0,1.43,300.0,3.26,52.0,SSFP
fs_0066_1_5T.h5,20,1,22,1,1,35.639999,760.0,261.25,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0032_3T.h5,34,1,18,1,2,38.52,560.0,210.0,8.0,1.61,300.0,3.21,42.0,SSFP
fs_0054_1_5T.h5,24,1,25,1,1,31.35,720.0,272.25,8.0,1.43,300.0,2.85,69.0,SSFP
fs_0005_1_5T.h5,18,1,18,1,1,50.240002,640.0,260.0,8.0,1.33,300.0,3.14,65.0,SSFP
fs_0021_3T.h5,38,1,22,1,1,35.880001,800.0,300.0,8.0,1.5,300.0,2.99,37.0,SSFP
fs_0047_3T.h5,34,1,22,1,1,32.599998,680.0,284.991852,8.0,1.43,300.0,3.26,52.0,SSFP
fs_0016_3T.h5,30,1,15,1,2,44.849998,820.0,320.415009,8.0,1.5,300.0,2.99,41.0,SSFP
fs_0001_1_5T.h5,15,1,19,1,1,48.16,720.0,292.5,8.0,1.27,300.0,3.01,67.0,SSFP
fs_0040_3T.h5,20,1,16,1,2,38.52,580.0,217.5,8.0,1.61,300.0,3.21,45.0,SSFP
fs_0017_3T.h5,30,1,16,1,2,44.849998,800.0,343.850006,8.0,1.5,300.0,2.99,41.0,SSFP
fs_0019_3T.h5,38,1,25,1,1,35.880001,800.0,300.0,8.0,1.5,300.0,2.99,37.0,SSFP
fs_0026_3T.h5,30,1,27,1,2,35.880001,800.0,300.0,8.0,1.5,300.0,2.99,38.0,SSFP
fs_0023_3T.h5,38,1,22,1,1,35.880001,800.0,300.0,8.0,1.5,300.0,2.99,37.0,SSFP
fs_0012_3T.h5,30,1,18,1,1,39.34,600.0,233.324997,6.0,1.41,300.0,2.81,40.0,SSFP
fs_0013_3T.h5,30,1,18,1,1,37.939999,800.0,315.0,6.5,1.36,300.0,2.71,40.0,SSFP
fs_0028_3T.h5,30,1,28,1,2,35.880001,800.0,300.0,8.0,1.5,300.0,2.99,38.0,SSFP
fs_0033_3T.h5,34,1,18,1,2,38.52,560.0,210.0,8.0,1.61,300.0,3.21,42.0,SSFP
fs_0024_3T.h5,38,1,22,1,1,35.880001,800.0,300.0,8.0,1.5,300.0,2.99,37.0,SSFP
fs_0069_1_5T.h5,24,1,25,1,1,35.639999,760.0,285.0,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0065_1_5T.h5,28,1,25,1,1,35.16,800.0,350.0,8.0,1.47,300.0,2.93,70.0,SSFP
fs_0052_1_5T.h5,28,1,31,1,1,27.5,880.0,330.0,8.0,1.38,300.0,2.75,70.0,SSFP
fs_0067_1_5T.h5,24,1,22,1,1,35.639999,760.0,285.0,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0034_3T.h5,34,1,18,1,2,38.52,560.0,210.0,8.0,1.61,300.0,3.21,42.0,SSFP
fs_0038_3T.h5,20,1,16,1,2,38.52,580.0,217.5,8.0,1.61,300.0,3.21,45.0,SSFP
fs_0064_1_5T.h5,16,1,25,1,1,35.639999,760.0,308.75,8.0,1.49,300.0,2.97,57.0,SSFP
fs_0041_3T.h5,20,1,18,1,2,37.080002,680.0,255.0,8.0,1.55,300.0,3.09,44.0,SSFP
fs_0058_1_5T.h5,24,1,22,1,1,34.439999,880.0,330.0,8.0,1.44,300.0,2.87,70.0,SSFP
fs_0053_1_5T.h5,28,1,30,1,1,28.5,720.0,270.0,8.0,1.43,300.0,2.85,70.0,SSFP
fs_0014_3T.h5,30,1,18,1,1,37.939999,800.0,315.0,6.5,1.36,300.0,2.71,40.0,SSFP
fs_0031_3T.h5,30,1,27,1,2,36.599998,760.0,285.0,8.0,1.53,300.0,3.05,38.0,SSFP
fs_0061_1_5T.h5,16,1,22,1,1,35.639999,760.0,285.0,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0042_3T.h5,20,1,17,1,2,39.959999,480.0,180.0,8.0,1.67,300.0,3.33,44.0,SSFP
fs_0062_1_5T.h5,24,1,22,1,1,35.639999,760.0,308.75,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0073_1_5T.h5,20,1,20,1,1,35.639999,760.0,285.0,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0006_1_5T.h5,18,1,18,1,1,50.240002,640.0,260.0,8.0,1.33,300.0,3.14,65.0,SSFP
fs_0027_3T.h5,30,1,28,1,2,35.880001,800.0,300.0,8.0,1.5,300.0,2.99,38.0,SSFP
fs_0070_1_5T.h5,20,1,25,1,1,35.639999,760.0,285.0,8.0,1.49,300.0,2.97,70.0,SSFP
fs_0020_3T.h5,38,1,22,1,1,35.880001,800.0,300.0,8.0,1.5,300.0,2.99,37.0,SSFP
fs_0039_3T.h5,20,1,16,1,2,38.52,580.0,217.5,8.0,1.61,300.0,3.21,45.0,SSFP
fs_0022_3T.h5,38,1,22,1,1,35.880001,800.0,300.0,8.0,1.5,300.0,2.99,37.0,SSFP
fs_0018_3T.h5,30,1,16,1,2,44.849998,800.0,343.850006,8.0,1.5,300.0,2.99,41.0,SSFP
fs_0030_3T.h5,30,1,26,1,2,37.799999,640.0,240.0,8.0,1.58,300.0,3.15,38.0,SSFP
fs_0046_3T.h5,30,1,25,1,1,36.599998,760.0,285.0,8.0,1.53,300.0,3.05,33.0,SSFP
fs_0015_3T.h5,16,1,18,1,1,39.619999,640.0,252.0,6.5,1.42,300.0,2.83,40.0,SSFP
